Time,feature_01,feature_02,feature_03,feature_04,feature_05,feature_06,feature_07,feature_08,feature_09,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,target
04/10/2024 12:00,0,0,0,119.2908783,0,0,108.5020752,134.4614258,100.3068237,900.1946411,77.20809174,99.31483459,101.5373383,526.2254028,950.5982666,317.5346985,87.32802582,908.2932129,831.5836792,1493.268188,728.515625,1522.5
04/10/2024 12:15,0,0,0,119.2246323,0,0,0.173611134,0.404006273,0.115740754,900.1237793,71.44540405,62.5556221,87.57466888,512.4674683,924.7104492,219.7916565,85.73497772,44.13345337,21.28202057,0,776.7470093,1895
04/10/2024 12:30,0,0,0,119.2942581,0,0,100.112236,109.5549698,0.115740754,900.3433228,25.06274986,55.7993927,67.65733337,523.2960815,923.9863281,158.8541565,88.34178162,35.70107269,644.4381714,0,748.914978,2572.5
04/10/2024 12:45,0,0,0,119.4518204,0,0,95.32893372,137.8387604,70.4826355,900.2681885,51.25891113,22.87902451,94.45333862,543.4064331,937.5042725,179.8610992,85.80738831,280.5162048,726.8377075,0,775.173645,2652.5
04/10/2024 13:00,0,0,0,119.4075851,0,0,85.29187775,144.6164551,90.25426483,900.3432007,70.758461,99.0656662,96.09600067,540.6416626,949.5331421,278.645813,84.86604309,848.5494385,815.1859741,1540.173706,789.0083008,2650
04/10/2024 13:15,0,0,0,119.329689,0,0,85.25764465,139.4247589,103.2494812,900.2200928,71.63209534,99.17205811,98.66266632,530.7675171,948.9863281,303.993042,86.3866806,895.6260376,788.8395996,1532.790405,804.0907593,2780
04/10/2024 13:30,0,0,0,119.2712173,0,0,90.33449554,146.1605835,103.2626038,900.1605225,76.50598907,97.25595856,100.0999985,529.5826416,950.0012817,316.493042,84.79363251,880.5596924,773.4014282,1573.941284,689.3988647,2790
04/10/2024 13:45,0,0,0,119.3254623,0,0,90.4178009,135.3134613,103.2016907,900.3007813,80.76676941,99.60982513,102.1533356,525.5342407,949.5181885,323.090271,85.44533539,930.1846313,901.7575684,1596.091187,757.8125,2705
04/10/2024 14:00,0,0,0,119.5070496,0,0,90.2522049,140.3791351,105.2901535,900.253418,84.58657074,99.98487091,103.5906677,524.6455688,949.0804443,327.2569275,87.83490753,960.9146729,925.4875488,1547.122681,708.8759155,2722.5
04/10/2024 14:15,0,0,0,119.8481216,0,0,90.31678772,150.290329,105.3427124,900.1751099,68.66437531,99.52893829,105.1306686,526.8178711,949.5170288,329.1666565,86.09703064,809.4342041,802.6931763,1456.026001,797.9058228,2702.5
04/10/2024 14:30,0,0,0,120.1405258,0,0,93.15400696,145.7209167,105.3171005,900.2299194,74.69052887,99.88334656,106.2600021,522.2428589,948.8005981,331.9444275,86.89355469,856.3933716,868.4403076,1474.158447,724.3381348,2750
04/10/2024 14:45,0,0,0,120.2549744,0,0,95.27391052,135.3005371,96.28892517,900.2598877,81.75038147,101.3320236,110.7773361,521.4529419,949.3105469,337.673584,84.43157196,904.0628052,849.7493896,1369.81543,729.817749,2730
04/10/2024 15:00,0,0,0,120.2831268,0,0,100.3099518,139.6199951,98.72942352,900.1520386,79.84746552,99.23999786,109.2373352,516.8449707,950.3996582,334.895813,87.54525757,944.4797974,848.5985107,1427.578735,730.25177,2735
04/10/2024 15:15,0,0,0,120.3076477,0,0,100.4424744,138.9147034,100.3530579,900.124939,79.06198883,100.4516525,106.9786682,519.9718018,949.1970215,336.805542,88.70384216,932.5021362,844.7936401,1524.972778,729.8720093,2747.5
04/10/2024 15:30,0,0,0,120.3408356,0,0,100.4393082,142.1690674,100.2361832,900.2073364,74.66439056,102.7502289,109.2373352,520.6630249,949.6656494,346.875,88.84866333,886.0333252,853.2032471,1505.320313,753.2009888,2812.5
04/10/2024 15:45,0,0,0,120.279068,0,0,100.3141022,138.1506195,100.2972488,900.199707,77.03112793,99.03771973,110.5719986,519.9718018,949.2999878,350.520813,89.06589508,911.819458,822.0924072,1503.800171,678.4939575,2855
04/10/2024 16:00,0,0,0,120.0768509,0,0,100.4367065,143.6701965,100.2641754,900.119812,78.11425018,101.227623,112.9333344,514.244812,950.1594238,350.173584,89.57277679,916.583374,934.1467896,1440.282227,729.4379272,2770
